Year,Player,Avg,Ret,Yds,KRet TD,20,40,Lng,FC,FUM
2003,Josh Scobey,23.1,73,1684,1,42,4,100,0,0
2003,Dante Hall,25.9,57,1478,2,34,9,100,0,1
2003,J.J. Moses,23.4,58,1355,0,38,4,70,0,0
2003,Allen Rossum,20.8,62,1291,0,39,2,52,0,2
2003,Jerry Azumah,29,41,1191,2,29,6,89,0,1
2003,Arlen Harris,23,51,1175,0,36,3,42,0,0
2003,Leon Johnson,23,50,1151,0,33,2,60,0,0
2003,Brandon Bennett,21.6,53,1146,0,29,1,46,0,1
2003,Brian Mitchell,20.3,55,1117,0,34,0,29,0,2
2003,Michael L. Lewis,23.7,45,1068,0,30,2,53,0,0
2003,Antonio Brown,21.8,48,1046,0,31,2,75,0,0
2003,Chad Morton,23.4,44,1029,1,29,2,94,0,0
2003,Reggie Swinton,23.9,43,1029,1,24,3,96,0,2
2003,Maurice Morris,21.4,47,1007,0,27,1,56,0,1
2003,Rod Smart,23.1,41,947,1,24,3,100,0,2
2003,Bethel Johnson,28.2,30,847,1,20,5,92,1,0
2003,Cedrick Wilson,22.6,37,836,1,20,1,95,0,0
2003,David Allen,20.3,41,831,0,23,1,61,0,1
2003,Ike Taylor,22.5,37,831,0,19,3,53,0,1
2003,James Thrash,24,34,815,0,21,3,54,0,0
2003,Antonio Chatman,22.3,36,804,0,24,1,46,0,0
2003,Andre Davis,21.1,38,803,0,17,1,69,0,1
2003,Travis Minor,21.4,34,727,0,19,1,49,0,0
2003,Lamont Brightful,24.7,29,716,0,14,4,75,0,0
2003,Chris Cole,23.8,30,714,0,21,0,34,0,1
2003,Jake Schifino,20.1,35,703,0,19,0,39,0,0
2003,Michael Bates,26.4,26,686,0,20,3,48,0,0
2003,Doug Gabriel,22.3,29,646,1,14,2,85,0,0
2003,Onterrio Smith,21.8,27,588,0,15,2,46,0,0
2003,Ronney Jenkins,22.1,25,553,0,16,0,33,0,0
2003,Brad Pyatt,28.6,19,544,0,15,2,90,0,0
